query,cluster,owner_page,tier,source,first_seen,notes
truman show game,truman-show,index.html,1,plan,2026-09-22,orphan demand — Burbank cancelled; verified v75/v90/v105/v120
ai life sim,ai-life-sim,index.html,1,plan,2026-09-22,features supports; never re-leads
ai life simulation game,ai-life-sim,index.html,1,plan,2026-09-22,
watch ai villagers,watch,demo.html,1,plan,2026-09-22,demo owns watch/live queries
ai villagers game,watch,features.html,1,plan,2026-09-22,
persistent ai world,persistent,features.html,1,plan,2026-09-22,how-it-works supports
ai characters you can't control,possession,features.html,1,plan,2026-09-22,the ban is the brand
browser life sim,browser,demo.html,1,plan,2026-09-22,zero-install watchability
life sim in browser,browser,how-it-works.html,1,plan,2026-09-22,
inzoi alternative,compare,compare.html,2,serp-v75,2026-09-22,faq comparison Q links over
sims alternative free,compare,compare.html,2,plan,2026-09-22,journal essays link back
games like twitch plays pokemon,compare,journal.html,2,plan,2026-09-22,lineage essay only
gta rp browser game,compare,journal.html,2,plan,2026-09-22,
paralives alternative,compare,compare.html,2,serp-v90,2026-09-23,shipped May 25 2026; disappointed-demand angle
paralives review,compare,compare.html,2,serp-v90,2026-09-23,
livora game,compare,compare.html,2,serp-v105,2026-09-23,shipped Jul 3 2026; single-life contrast
livora life sim,compare,compare.html,2,serp-v105,2026-09-23,
inzoi online alternative,compare,compare.html,2,serp-v105,2026-09-23,Phase-5 window Oct 2026
games like canvastown,compare,compare.html,2,serp-v105,2026-09-23,
new life sim 2026,listicle,index.html,2,serp-v105,2026-09-23,be on the list; quotable positioning
upcoming life sims,listicle,index.html,2,serp-v105,2026-09-23,
burbank game,compare,compare.html,2,serp-v75,2026-09-22,cancelled — honest lineage only
games like burbank,compare,journal.html,2,serp-v75,2026-09-22,
cozy life sim 2026,listicle,index.html,2,plan,2026-09-22,tone match with stakes
possess an ai character,possession,how-it-works.html,3,plan,2026-09-22,faq shares; features links over
dolores park game,place,index.html,3,plan,2026-09-22,real streets / fictional people
mission district game,place,index.html,3,plan,2026-09-22,
ai character drama,drama,journal.html,3,plan,2026-09-22,recap posts
ai soap opera,drama,journal.html,3,plan,2026-09-22,
virtual neighborhood you can watch,watch,index.html,3,plan,2026-09-22,demo supports
public request feed game,mechanic,how-it-works.html,3,plan,2026-09-22,
rent controlled apartment game,mechanic,journal.html,3,plan,2026-09-22,municipal-realism post
ai npc with memory game,mechanic,features.html,3,plan,2026-09-22,memory-spec angle when stable
npc daily schedule simulation,mechanic,features.html,3,plan,2026-09-22,
ai character job,mechanic,faq.html,3,serp-v60,2026-09-23,faq owns question form; how-it-works owns mechanic
npc with a real job,mechanic,how-it-works.html,3,serp-v60,2026-09-23,
hire an ai character,mechanic,how-it-works.html,3,plan,2026-09-22,#move-in anchor
become a landlord game,landlord,how-it-works.html,3,serp-v120,2026-09-23,tenant→owner→landlord ladder; never "run the neighborhood"
landlord sim,landlord,journal.html,3,serp-v120,2026-09-23,LIVORA shipped Landlord Life Sep 19 2026 — essay angle: earn it, don't buy it
game event archive,archive,archive.html,3,plan,2026-09-22,wire-archive.html is the app
game history browser,archive,archive.html,3,plan,2026-09-22,
ai spectator feed,watch,wire.html,3,plan,2026-09-22,
live ai world,watch,wire.html,3,plan,2026-09-22,
real gameplay screenshots,proof,gallery.html,3,plan,2026-09-22,index/features link over
gameplay screenshots,proof,gallery.html,3,plan,2026-09-22,
ai life sim pricing,pricing,pricing.html,3,plan,2026-09-22,faq never restates numbers
truman show cast,cast,cast.html,3,plan,2026-09-22,
ai characters game,cast,cast.html,3,plan,2026-09-22,
