id,phase,day,date,time_pt,channel,draft,link,summary
A14-teaser,phase-a-prelaunch,T-14,,10:00,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,"Teaser: 'Somewhere in the Mission, it's always Tuesday for somebody' (evening shot, slow zoom)"
A14-teaser,phase-a-prelaunch,T-14,,10:00,x,devlog-clips.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=launch,"Teaser: 'Somewhere in the Mission, it's always Tuesday for somebody' (evening shot, slow zoom)"
A14-teaser,phase-a-prelaunch,T-14,,10:00,youtube-shorts,devlog-clips.md,{{SITE_URL}}?utm_source=youtube&utm_medium=clip&utm_campaign=launch,"Teaser: 'Somewhere in the Mission, it's always Tuesday for somebody' (evening shot, slow zoom)"
A12-jules,phase-a-prelaunch,T-12,,11:00,x,cast-spotlights.md,{{SITE_URL}}?utm_source=x&utm_medium=spotlight&utm_campaign=launch,Cast spotlight 1: Jules Park (the newcomer = viewer's stand-in)
A12-jules,phase-a-prelaunch,T-12,,11:00,bluesky,cast-spotlights.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=spotlight&utm_campaign=launch,Cast spotlight 1: Jules Park (the newcomer = viewer's stand-in)
A10-shared-block,phase-a-prelaunch,T-10,,10:00,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,Devlog clip: 'How 28 characters share one block'
A10-shared-block,phase-a-prelaunch,T-10,,10:00,x,devlog-clips.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=launch,Devlog clip: 'How 28 characters share one block'
A08-marisol,phase-a-prelaunch,T-8,,11:00,x,cast-spotlights.md,{{SITE_URL}}?utm_source=x&utm_medium=spotlight&utm_campaign=launch,"Cast spotlight 2: Marisol (tease, don't confirm — spoiler rule)"
A08-marisol,phase-a-prelaunch,T-8,,11:00,bluesky,cast-spotlights.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=spotlight&utm_campaign=launch,"Cast spotlight 2: Marisol (tease, don't confirm — spoiler rule)"
A07-oneweek,phase-a-prelaunch,T-7,,09:00,x,launch-thread.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=launch,"One week out: launch date + 'watch free, forever'; optional playtest-night invite (playtest-night.md)"
A07-oneweek,phase-a-prelaunch,T-7,,09:00,bluesky,launch-thread.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=launch,"One week out: launch date + 'watch free, forever'; optional playtest-night invite (playtest-night.md)"
A07-oneweek,phase-a-prelaunch,T-7,,09:00,tiktok,launch-thread.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=organic&utm_campaign=launch,"One week out: launch date + 'watch free, forever'; optional playtest-night invite (playtest-night.md)"
A07-oneweek,phase-a-prelaunch,T-7,,09:00,youtube-shorts,launch-thread.md,{{SITE_URL}}?utm_source=youtube&utm_medium=organic&utm_campaign=launch,"One week out: launch date + 'watch free, forever'; optional playtest-night invite (playtest-night.md)"
A05-requestfeed,phase-a-prelaunch,T-5,,10:00,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,Devlog clip: the public request feed — 'every intervention is visible'
A05-requestfeed,phase-a-prelaunch,T-5,,10:00,x,devlog-clips.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=launch,Devlog clip: the public request feed — 'every intervention is visible'
A04-victor,phase-a-prelaunch,T-4,,11:00,x,cast-spotlights.md,{{SITE_URL}}?utm_source=x&utm_medium=spotlight&utm_campaign=launch,Cast spotlight 3: Victor
A04-victor,phase-a-prelaunch,T-4,,11:00,bluesky,cast-spotlights.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=spotlight&utm_campaign=launch,Cast spotlight 3: Victor
A03-embargo,phase-a-prelaunch,T-3,,09:00,x,,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=launch,"Press embargo lifts (PRESS-OUTREACH); reshare coverage — no dedicated draft, quote-post real coverage only"
A03-embargo,phase-a-prelaunch,T-3,,09:00,bluesky,,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=launch,"Press embargo lifts (PRESS-OUTREACH); reshare coverage — no dedicated draft, quote-post real coverage only"
A03-embargo,phase-a-prelaunch,T-3,,09:00,tiktok,,{{SITE_URL}}?utm_source=tiktok&utm_medium=organic&utm_campaign=launch,"Press embargo lifts (PRESS-OUTREACH); reshare coverage — no dedicated draft, quote-post real coverage only"
